"Date","Price","Open","High","Low","Change %"
"12/01/2023","3.155","3.617","3.631","3.155","-12.89%"
"11/01/2023","3.622","4.210","4.227","3.565","-13.80%"
"10/01/2023","4.202","4.095","4.242","3.997","6.51%"
"09/01/2023","3.945","3.733","3.989","3.703","5.37%"
"08/01/2023","3.744","3.665","3.895","3.648","1.33%"
"07/01/2023","3.695","3.667","3.806","3.540","0.43%"
"06/01/2023","3.679","3.440","3.710","3.401","6.58%"
"05/01/2023","3.452","3.326","3.603","3.176","4.99%"
"04/01/2023","3.288","3.300","3.387","3.136","0.64%"
"03/01/2023","3.267","3.890","3.949","3.124","-14.70%"
"02/01/2023","3.830","3.280","3.830","3.055","15.64%"
"01/01/2023","3.312","3.796","3.820","3.190","-11.42%"
"12/01/2022","3.739","3.648","3.753","3.410","1.44%"
"11/01/2022","3.686","4.270","4.300","3.644","-13.60%"
"10/01/2022","4.266","4.106","4.648","4.000","1.86%"
"09/01/2022","4.188","3.856","4.610","3.599","10.15%"
"08/01/2022","3.802","3.126","3.837","3.033","23.96%"
"07/01/2022","3.067","3.593","3.593","3.028","-16.16%"
"06/01/2022","3.658","3.285","3.920","3.281","12.31%"
"05/01/2022","3.257","3.262","3.447","3.081","2.68%"
"04/01/2022","3.172","2.857","3.312","2.857","11.06%"
"03/01/2022","2.856","2.419","3.009","2.395","15.72%"
"02/01/2022","2.468","2.359","2.582","2.359","3.01%"
"01/01/2022","2.396","2.023","2.449","2.023","19.50%"